Active;Authorship Confidence;ID (Link);Topic;Title;Citations;Date;Author Position;Co-Author count
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/20953340""; ""20953340"")";;"""Detail in network models of epidemiology: are we there yet?""";7;2010-09-01;middle;9
1;0.4;"=HYPERLINK(""http://europepmc.org/abstract/MED/24885692""; ""24885692"")";;"""Accuracy of epidemiological inferences based on publicly available information: retrospective comparative analysis of line lists of human cases infected with influenza A(H7N9) in China.""";6;2014-05-01;middle;21
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/21966439""; ""21966439"")";;"""Comparing effectiveness of top-down and bottom-up strategies in containing influenza.""";5;2011-01-01;middle;6
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/26934136""; ""26934136"")";;"""Visual Field Outcomes for the Idiopathic Intracranial Hypertension Treatment Trial (IIHTT).""";4;2016-03-01;middle;6
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/26920359""; ""26920359"")";;"""Chronic kidney disease, cerebral blood flow, and white matter volume in hypertensive adults.""";4;2016-03-01;middle;11
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/23343523""; ""23343523"")";;"""in silico surveillance: evaluating outbreak detection with simulation models.""";4;2013-01-01;first;3
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/6490376""; ""6490376"")";;"""Hospital contract management: a descriptive profile.""";3;1984-10-01;last;1
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/28834483""; ""28834483"")";;"""Effect of Intensive Blood-Pressure Treatment on Patient-Reported Outcomes.""";3;2017-08-01;middle;21
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/23903394""; ""23903394"")";;"""A simulation environment for the dynamic evaluation of disaster preparedness policies and interventions.""";3;2013-09-01;first;5
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/25975429""; ""25975429"")";;"""Prospective study of recovery from copperhead snake envenomation: an observational study.""";2;2015-05-01;middle;2
1;0.6;"=HYPERLINK(""http://europepmc.org/abstract/MED/20046542""; ""20046542"")";;"""An Interaction Based Composable Architecture for Building Scalable Models of Large Social, Biological, Information and Technical Systems.""";2;2008-03-01;middle;14
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/1059286""; ""1059286"")";;"""Presence of the dentist: a stress evoking cue?""";1;1975-10-01;middle;2
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/29211671""; ""29211671"")";;"""Pharmacomechanical Catheter-Directed Thrombolysis for Deep-Vein Thrombosis.""";1;2017-12-01;middle;30
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/23873126""; ""23873126"")";;"""Estimating Human Cases of Avian Influenza A(H7N9) from Poultry Exposure.""";1;2013-05-01;middle;3
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/22997545""; ""22997545"")";;"""Prediction of an Epidemic Curve: A Supervised Classification Approach.""";1;2011-01-01;last;3
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/29358419""; ""29358419"")";;"""Disparities in spread and control of influenza in slums of Delhi: findings from an agent-based modelling study.""";0;2018-01-01;middle;10
1;0.2;"=HYPERLINK(""http://europepmc.org/abstract/MED/29157142""; ""29157142"")";;"""Experimental study on centerline velocities of a rectangular capture hood under realistic conditions.""";0;2018-02-01;middle;2
1;0.2;"=HYPERLINK(""http://europepmc.org/abstract/MED/28971344""; ""28971344"")";;"""The effect of beam interruption during FFF-VMAT plans for SBRT.""";0;2017-12-01;middle;4
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/28601268""; ""28601268"")";;"""The Efficacy of Crotalidae Polyvalent Immune Fab (Ovine) Antivenom Versus Placebo Plus Optional Rescue Therapy on Recovery From Copperhead Snake Envenomation: A Randomized, Double-Blind, Placebo-Controlled, Clinical Trial.""";0;2017-08-01;middle;16
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/28570660""; ""28570660"")";;"""Epidemiological and economic impact of pandemic influenza in Chicago: Priorities for vaccine interventions.""";0;2017-06-01;middle;5
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/28506278""; ""28506278"")";ebola;"""A framework for evaluating epidemic forecasts.""";0;2017-05-01;middle;6
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/28256420""; ""28256420"")";ebola;"""Using data-driven agent-based models for forecasting emerging infectious diseases.""";0;2017-02-01;middle;5
1;0.2;"=HYPERLINK(""http://europepmc.org/abstract/MED/25625325""; ""25625325"")";;"""Assessing Exposures to 1-chloro-4-(trifluoromethyl) Benzene (PCBTF) in U.S. Workplaces.""";0;2015-01-01;middle;5
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/25580055""; ""25580055"")";;"""PLANNING AND RESPONSE IN THE AFTERMATH OF A LARGE CRISIS: AN AGENT-BASED INFORMATICS FRAMEWORK(*)""";1;2013-01-01;middle;21
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/24149043""; ""24149043"")";;"""International society for disease surveillance conference 2011: building the future of public health surveillance.""";0;2011-12-01;middle;1
